Date,Open,High,Low,Close
14-Dec-17,10656.96,10722.18,10586.19,10699.03
15-Dec-17,10766.13,10822.42,10766.13,10784.45
18-Dec-17,10759.23,10891.87,10521.32,10832.5
19-Dec-17,10873.37,10919.82,10856.47,10911.08
20-Dec-17,10937.16,10945.3,10886.7,10894.53
21-Dec-17,10907.85,10925.55,10877.67,10890.04
22-Dec-17,10895.95,10947.27,10895.75,10940.76
26-Dec-17,10952.48,10981.7,10930.43,10969.14
27-Dec-17,10990.81,11006.65,10917.39,10937.91
28-Dec-17,10945.84,10976.79,10891.94,10919.11
29-Dec-17,10934.69,10988.67,10934.69,10979.78
01-Jan-18,10983.51,10993.35,10887.11,10902.6
02-Jan-18,10932.14,10950.3,10856.95,10891.2
03-Jan-18,10927.1,10961.44,10884.3,10893.89
04-Jan-18,10930.53,10967.02,10893.76,10958.75
05-Jan-18,10978.28,11031.15,10977.14,11021.69
08-Jan-18,11043.29,11099.22,11043.29,11089.03
09-Jan-18,11110.87,11128.93,11075.67,11105.85
10-Jan-18,11132.13,11142.34,11066.76,11099.28
11-Jan-18,11110.38,11136.4,11087.12,11118.83
12-Jan-18,11141.25,11162.38,11063.11,11146.29
15-Jan-18,11176.57,11257.71,11176.5,11211.49
16-Jan-18,11227.52,11243.74,11163.39,11175.27
17-Jan-18,11175.34,11277.37,11139.29,11265.1
18-Jan-18,11340.73,11372.73,11252.66,11287.45
19-Jan-18,11312.71,11382.72,11271.92,11370.96
22-Jan-18,11399.55,11460.01,11365.93,11451.42
23-Jan-18,11477.89,11575.23,11476.78,11565.5
24-Jan-18,11574.48,11601.73,11534.3,11570.11
25-Jan-18,11583.81,11594.59,11479.58,11539.81
29-Jan-18,11557.24,11657.2,11554.22,11604.76
30-Jan-18,11603.11,11608.78,11517.09,11528.6
31-Jan-18,11509.49,11538.79,11460.97,11506.88
01-Feb-18,11533.76,11594.85,11350.46,11492.93
02-Feb-18,11433.48,11438.44,11203.17,11223.13
05-Feb-18,11116.2,11163.93,11048.93,11131.25
06-Feb-18,10818.93,11044.54,10725.58,10948.3
07-Feb-18,11065.22,11097.38,10895.48,10918.68
08-Feb-18,10954.24,11090.78,10927.9,11026.92
09-Feb-18,10895.4,10933.58,10847.23,10910.74
12-Feb-18,10968.86,11008.4,10939.17,10992.24
14-Feb-18,11038.41,11048.56,10914.96,10955.5
15-Feb-18,10975.31,11078.19,10968.31,11003.66
16-Feb-18,11043.34,11075.14,10889.72,10904.87
19-Feb-18,10918.77,10937.49,10752.39,10824.48
20-Feb-18,10861.31,10888.22,10801.5,10814.84
21-Feb-18,10850.86,10880.61,10810.22,10856.65
22-Feb-18,10844.21,10856.47,10805.01,10839.48
23-Feb-18,10848.71,10954.76,10848.1,10947.46
26-Feb-18,10977.6,11058.75,10977.59,11048.06
27-Feb-18,11083.37,11104.69,11007.74,11017.7
28-Feb-18,10951.23,10999.13,10931.07,10959.52
01-Mar-18,10947.99,10992.04,10909.91,10920.73
05-Mar-18,10914.35,10914.41,10785.71,10816.08
06-Mar-18,10901.72,10904.87,10668.97,10700.26
07-Mar-18,10687.8,10707.23,10600.31,10613.1
08-Mar-18,10675.06,10726.48,10603.45,10697.36
09-Mar-18,10728.87,10752.06,10666.17,10683.77
12-Mar-18,10734.19,10892.08,10734.19,10879.19
13-Mar-18,10849.57,10940.36,10840.66,10883.81
14-Mar-18,10850.37,10892.91,10805.32,10880.17
15-Mar-18,10878.81,10889.64,10813.59,10828.17
16-Mar-18,10829.21,10830.25,10647.63,10664.19
19-Mar-18,10688.8,10690.61,10538.29,10560.97
20-Mar-18,10534.2,10616.06,10513.59,10583.97
21-Mar-18,10618.12,10696.93,10595.42,10620.28
22-Mar-18,10640.38,10671.73,10565.28,10578.02
23-Mar-18,10461.6,10490.21,10413.62,10457.25
26-Mar-18,10441.43,10615.71,10423.48,10598.48
27-Mar-18,10639.12,10699.15,10611.3,10651.19
28-Mar-18,10627.49,10631.61,10575.6,10591.7
02-Apr-18,10616.31,10693.46,10600.98,10683.88
03-Apr-18,10665.39,10727.03,10644.58,10715.5
04-Apr-18,10742.27,10753.36,10583.67,10597.7
05-Apr-18,10681.39,10802.94,10675.99,10791.67
06-Apr-18,10793.71,10825.54,10766.62,10804
09-Apr-18,10818.06,10871.95,10795.9,10852.61
10-Apr-18,10888.08,10904.61,10859.75,10882.03
11-Apr-18,10909.8,10911.07,10836.36,10892.44
12-Apr-18,10905.32,10957.65,10877.65,10938.92
13-Apr-18,10963.91,11007.39,10938.03,10967.65
16-Apr-18,10894.36,11023.2,10880.27,11012.61
17-Apr-18,11036.26,11050.89,10986.84,11039.15
18-Apr-18,11058.38,11095.89,11002.62,11022.71
19-Apr-18,11043.83,11067.62,11039.94,11060.4
20-Apr-18,11058.31,11081.19,11026.02,11062.87
23-Apr-18,11090.41,11142.41,11030.51,11073.66
24-Apr-18,11073.8,11131.42,11061.93,11105.15
25-Apr-18,11098.7,11104.83,11022.21,11054.92
26-Apr-18,11065.78,11125.34,11051.24,11115.93
